captured_at_utc,repo,type,timestamp_utc,count,uniques
2026-06-02T04:58:31.968593+00:00,Kr-Adarsh/git-traffic-log,view,2026-05-21T00:00:00Z,0,0
2026-06-02T04:58:31.968593+00:00,Kr-Adarsh/git-traffic-log,view,2026-05-22T00:00:00Z,0,0
2026-06-02T04:58:31.968593+00:00,Kr-Adarsh/git-traffic-log,view,2026-05-23T00:00:00Z,0,0
2026-06-02T04:58:31.968593+00:00,Kr-Adarsh/git-traffic-log,view,2026-05-24T00:00:00Z,0,0
2026-06-02T04:58:31.968593+00:00,Kr-Adarsh/git-traffic-log,view,2026-05-25T00:00:00Z,0,0
2026-06-02T04:58:31.968593+00:00,Kr-Adarsh/git-traffic-log,view,2026-05-26T00:00:00Z,0,0
2026-06-02T04:58:31.968593+00:00,Kr-Adarsh/git-traffic-log,view,2026-05-27T00:00:00Z,0,0
2026-06-02T04:58:31.968593+00:00,Kr-Adarsh/git-traffic-log,view,2026-05-28T00:00:00Z,0,0
2026-06-02T04:58:31.968593+00:00,Kr-Adarsh/git-traffic-log,view,2026-05-29T00:00:00Z,0,0
2026-06-02T04:58:31.968593+00:00,Kr-Adarsh/git-traffic-log,view,2026-05-30T00:00:00Z,0,0
2026-06-02T04:58:31.968593+00:00,Kr-Adarsh/git-traffic-log,view,2026-05-31T00:00:00Z,0,0
